"DownloadedAt","NexusModId","ArchiveName","SizeMB","SourceUrl","FullPath","BacklogStatus","Notes"
"2026-06-25 11:43:13","5813","Kaer Morhen Armory Rubble Removed-5813-1-2-1708274171.rar","0.06","https://www.nexusmods.com/witcher3/mods/5813","C:\Users\marti\Downloads\Kaer Morhen Armory Rubble Removed-5813-1-2-1708274171.rar","triage",""
"2026-06-25 11:14:07","10978","Kaer Morhen Enhanced-10978-1-6-1-1776375310.zip","0.25","https://www.nexusmods.com/witcher3/mods/10978","C:\Users\marti\Downloads\Kaer Morhen Enhanced-10978-1-6-1-1776375310.zip","triage",""
"2026-06-24 15:36:36","9723","Kaer Morhen's Bastion restored-9723-1-3-1729026448.zip","282.36","https://www.nexusmods.com/witcher3/mods/9723","C:\Users\marti\Downloads\Kaer Morhen's Bastion restored-9723-1-3-1729026448.zip","triage",""
"2026-06-24 15:34:03","11004","Full Access To An Expanded Beauclair Palace-11004-1-2-1752159480.7z","283.95","https://www.nexusmods.com/witcher3/mods/11004","C:\Users\marti\Downloads\Full Access To An Expanded Beauclair Palace-11004-1-2-1752159480.7z","triage",""
"2026-06-24 15:14:05","9563","Kaer Morhen restored to its ancient slpendor-9563-1-8-1729435430.zip","370.96","https://www.nexusmods.com/witcher3/mods/9563","C:\Users\marti\Downloads\Kaer Morhen restored to its ancient slpendor-9563-1-8-1729435430.zip","triage",""
"2026-06-24 15:08:45","11934","Kaer Morhen Extended Edition-11934-1-2-1772604141.7z","230.38","https://www.nexusmods.com/witcher3/mods/11934","C:\Users\marti\Downloads\Kaer Morhen Extended Edition-11934-1-2-1772604141.7z","triage",""
"2026-06-24 15:06:36","7353","IA_CPatch ( FM )-7353-0-9-7NGE-1701108777.rar","0","https://www.nexusmods.com/witcher3/mods/7353","C:\Users\marti\Downloads\IA_CPatch ( FM )-7353-0-9-7NGE-1701108777.rar","triage",""
"2026-06-24 15:00:19","11820","Benis Toussaint Lighting Overhaul-11820-1-1-4-5-1770077045.rar","4.64","https://www.nexusmods.com/witcher3/mods/11820","C:\Users\marti\Downloads\Benis Toussaint Lighting Overhaul-11820-1-1-4-5-1770077045.rar","triage",""
"2026-06-24 14:55:46","7353","InterfaceAnim-7353-5-1-5-1756967904.rar","41.86","https://www.nexusmods.com/witcher3/mods/7353","C:\Users\marti\Downloads\InterfaceAnim-7353-5-1-5-1756967904.rar","triage",""
"2026-06-24 14:55:39","7353","IA_CPatch ( IM )-7353-1-0-1701109057.rar","0","https://www.nexusmods.com/witcher3/mods/7353","C:\Users\marti\Downloads\IA_CPatch ( IM )-7353-1-0-1701109057.rar","triage",""
"2026-06-24 14:55:02","7353","IA_CPatch ( W3EE Redux )-7353-1-42g-1746364673.rar","0.01","https://www.nexusmods.com/witcher3/mods/7353","C:\Users\marti\Downloads\IA_CPatch ( W3EE Redux )-7353-1-42g-1746364673.rar","triage",""
"2026-06-24 14:51:17","7240","Menu - No Artificial Player and Cutscene Light-7240-2-08-1768843221.rar","0.01","https://www.nexusmods.com/witcher3/mods/7240","C:\Users\marti\Downloads\Menu - No Artificial Player and Cutscene Light-7240-2-08-1768843221.rar","triage",""
"2026-06-24 14:50:36","7236","Witcher Lore Collection-7236-2-0-1-1764408820.zip","2.78","https://www.nexusmods.com/witcher3/mods/7236","C:\Users\marti\Downloads\Witcher Lore Collection-7236-2-0-1-1764408820.zip","triage",""
"2026-06-24 14:32:36","10519","Menu Organizer (NG 4.04RU2)-10519-4-0-0-1778328865.7z","0.08","https://www.nexusmods.com/witcher3/mods/10519","C:\Users\marti\Downloads\Menu Organizer (NG 4.04RU2)-10519-4-0-0-1778328865.7z","triage",""
"2026-06-24 14:02:36","4670","NightToRemember Quest Next-Gen-4670-1-3-NextGen-1672325586.zip","142.01","https://www.nexusmods.com/witcher3/mods/4670","C:\Users\marti\Downloads\NightToRemember Quest Next-Gen-4670-1-3-NextGen-1672325586.zip","triage",""
"2026-06-24 13:56:15","10744","Fix for shoeless knight pants-10744-1-0-1745265855.zip","0.24","https://www.nexusmods.com/witcher3/mods/10744","C:\Users\marti\Downloads\Fix for shoeless knight pants-10744-1-0-1745265855.zip","triage",""
"2026-06-24 10:50:15","9206","WaterwheelFIXED-9206-1-1-1718019750.7z","0","https://www.nexusmods.com/witcher3/mods/9206","C:\Users\marti\Downloads\WaterwheelFIXED-9206-1-1-1718019750.7z","triage",""
"2026-06-24 10:26:33","9360","W3QE-9360-2-5-1-1723596339.7z","0.17","https://www.nexusmods.com/witcher3/mods/9360","C:\Users\marti\Downloads\W3QE-9360-2-5-1-1723596339.7z","triage",""
"2026-06-24 10:20:02","9157","Boat Races-9157-1-3-1-1764413023.zip","138.6","https://www.nexusmods.com/witcher3/mods/9157","C:\Users\marti\Downloads\Boat Races-9157-1-3-1-1764413023.zip","triage",""
