"Category","Status","Risk","NexusModId","LogFile","SourceLog"
"Assessed / audited","assessed-or-audited","medium","5604","assess-aefderaedd-5604-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\assess-aefderaedd-5604-2026-06-23.md"
"Assessed / audited","assessed-or-audited","medium","2686","assess-beautiful-grass-2686-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\assess-beautiful-grass-2686-2026-06-23.md"
"Assessed / audited","assessed-or-audited","medium","9987","assess-bia-hdrp-compatible-patch-9987-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\assess-bia-hdrp-compatible-patch-9987-2026-06-23.md"
"Assessed / audited","assessed-or-audited","medium","2283","assess-butcher-of-blaviken-geralt-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\assess-butcher-of-blaviken-geralt-2026-06-23.md"
"Assessed / audited","assessed-or-audited","medium","8829","assess-children-next-gen-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\assess-children-next-gen-2026-06-23.md"
"Assessed / audited","assessed-or-audited","medium","7221","assess-enable-jumping-in-water-7221-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\assess-enable-jumping-in-water-7221-2026-06-23.md"
"Assessed / audited","assessed-or-audited","medium","1902","assess-enable-mimics-1902-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\assess-enable-mimics-1902-2026-06-23.md"
"Assessed / audited","assessed-or-audited","medium","4341","assess-realistic-eyes-fixed-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\assess-realistic-eyes-fixed-2026-06-23.md"
"Assessed / audited","assessed-or-audited","medium","4138","assess-skellige-winter-weather-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\assess-skellige-winter-weather-2026-06-23.md"
"Assessed / audited","assessed-or-audited","medium","2943","assess-smart-magic-lamp-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\assess-smart-magic-lamp-2026-06-23.md"
"Assessed / audited","assessed-or-audited","medium","5468","assess-sort-everything-minor-tweaks-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\assess-sort-everything-minor-tweaks-2026-06-23.md"
"Assessed / audited","assessed-or-audited","medium","10761","assess-ssao-tweak-eyes-fix-10761-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\assess-ssao-tweak-eyes-fix-10761-2026-06-23.md"
"Assessed / audited","assessed-or-audited","medium","3223","assess-triss-glorified-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\assess-triss-glorified-2026-06-23.md"
"Assessed / audited","assessed-or-audited","medium","6421","assess-ui-sound-effects-cleaning-6421-2026-06-23.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\assess-ui-sound-effects-cleaning-6421-2026-06-23.md"
"Assessed / audited","assessed-or-audited","medium","8732","audit-cat-hood-fix-8732-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\audit-cat-hood-fix-8732-2026-06-24.md"
"Assessed / audited","assessed-or-audited","medium","","audit-hdrp-merge-status-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\audit-hdrp-merge-status-2026-06-24.md"
"Assessed / audited","assessed-or-audited","medium","3703","audit-improved-fist-fights-3703-w3ee-risk-2026-06-25.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\audit-improved-fist-fights-3703-w3ee-risk-2026-06-25.md"
"Assessed / audited","assessed-or-audited","medium","11934","audit-kaer-morhen-extended-edition-11934-2026-06-25.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\audit-kaer-morhen-extended-edition-11934-2026-06-25.md"
"Assessed / audited","assessed-or-audited","medium","","audit-time-of-sword-and-axe-shadowed-scripts-2026-06-24.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\audit-time-of-sword-and-axe-shadowed-scripts-2026-06-24.md"
"Assessed / audited","assessed-or-audited","medium","9287","audit-triss-corvo-bianco-true-dress-9287-2026-06-25.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\audit-triss-corvo-bianco-true-dress-9287-2026-06-25.md"
"Assessed / audited","assessed-or-audited","medium","11799","audit-triss-earrings-fix-11799-2026-06-25.md","C:\Users\marti\OneDrive\Documents\New project\Witcher-3\logs\audit-triss-earrings-fix-11799-2026-06-25.md"
