"Priority","Status","XmlFile","GroupId","VarId","Label","DisplayType","CurrentValue","PreferredValue","Recommendation","Reason","ReviewBasis","Options","Presets"
"P2","Recommended","activemedallionconfig.xml","modAM_G","modAM_enable_id","modAM_enable","TOGGLE","true","true","Prefer immersive/minimal cues over loud HUD/VFX","Active medallion should add atmosphere and investigation feedback without becoming a constant UI alarm.","Local XML","","0:modAM_default{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=4, modAM_previewvfx_id=false, modAM_sfx_type_id=3, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2} | 1:modAM_minimalist{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=0, modAM_previewvfx_id=false, modAM_sfx_type_id=2, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=1} | 2:modAM_minimalistbookmed{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=11, modAM_previewvfx_id=false, modAM_sfx_type_id=12, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=0} | 3:modAM_nightmare{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=13, modAM_previewvfx_id=false, modAM_sfx_type_id=13, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2}"
"P2","Recommended","activemedallionconfig.xml","modAM_G","modAM_otherwitcher_id","modAM_otherwitcher","TOGGLE","true","true","Prefer immersive/minimal cues over loud HUD/VFX","Active medallion should add atmosphere and investigation feedback without becoming a constant UI alarm.","Local XML","","0:modAM_default{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=4, modAM_previewvfx_id=false, modAM_sfx_type_id=3, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2} | 1:modAM_minimalist{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=0, modAM_previewvfx_id=false, modAM_sfx_type_id=2, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=1} | 2:modAM_minimalistbookmed{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=11, modAM_previewvfx_id=false, modAM_sfx_type_id=12, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=0} | 3:modAM_nightmare{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=13, modAM_previewvfx_id=false, modAM_sfx_type_id=13, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2}"
"P2","Recommended","activemedallionconfig.xml","modAM_G","modAM_static_id","modAM_static","TOGGLE","false","false","Prefer immersive/minimal cues over loud HUD/VFX","Active medallion should add atmosphere and investigation feedback without becoming a constant UI alarm.","Local XML","","0:modAM_default{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=4, modAM_previewvfx_id=false, modAM_sfx_type_id=3, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2} | 1:modAM_minimalist{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=0, modAM_previewvfx_id=false, modAM_sfx_type_id=2, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=1} | 2:modAM_minimalistbookmed{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=11, modAM_previewvfx_id=false, modAM_sfx_type_id=12, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=0} | 3:modAM_nightmare{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=13, modAM_previewvfx_id=false, modAM_sfx_type_id=13, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2}"
"P2","Recommended","activemedallionconfig.xml","modAM_G","modAM_wind_id","modAM_wind","TOGGLE","true","true","Prefer immersive/minimal cues over loud HUD/VFX","Active medallion should add atmosphere and investigation feedback without becoming a constant UI alarm.","Local XML","","0:modAM_default{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=4, modAM_previewvfx_id=false, modAM_sfx_type_id=3, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2} | 1:modAM_minimalist{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=0, modAM_previewvfx_id=false, modAM_sfx_type_id=2, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=1} | 2:modAM_minimalistbookmed{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=11, modAM_previewvfx_id=false, modAM_sfx_type_id=12, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=0} | 3:modAM_nightmare{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=13, modAM_previewvfx_id=false, modAM_sfx_type_id=13, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2}"
"P2","Recommended","activemedallionconfig.xml","modAM_G","modAM_sonar_type_id","modAM_sonar_type","OPTIONS","13","13","Prefer immersive/minimal cues over loud HUD/VFX","Active medallion should add atmosphere and investigation feedback without becoming a constant UI alarm.","Local XML","0:modAM_sonar_type_0{modAM_sonar_type_id=0} | 1:modAM_sonar_type_1{modAM_sonar_type_id=1} | 2:modAM_sonar_type_2{modAM_sonar_type_id=2} | 3:modAM_sonar_type_3{modAM_sonar_type_id=3} | 4:modAM_sonar_type_4{modAM_sonar_type_id=4} | 5:modAM_sonar_type_5{modAM_sonar_type_id=5} | 6:modAM_sonar_type_6{modAM_sonar_type_id=6} | 7:modAM_sonar_type_7{modAM_sonar_type_id=7} | 8:modAM_sonar_type_8{modAM_sonar_type_id=8} | 9:modAM_sonar_type_9{modAM_sonar_type_id=9} | 10:modAM_sonar_type_10{modAM_sonar_type_id=10} | 11:modAM_sonar_type_11{modAM_sonar_type_id=11} | 12:modAM_sonar_type_12{modAM_sonar_type_id=12} | 13:modAM_sonar_type_13{modAM_sonar_type_id=13}","0:modAM_default{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=4, modAM_previewvfx_id=false, modAM_sfx_type_id=3, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2} | 1:modAM_minimalist{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=0, modAM_previewvfx_id=false, modAM_sfx_type_id=2, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=1} | 2:modAM_minimalistbookmed{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=11, modAM_previewvfx_id=false, modAM_sfx_type_id=12, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=0} | 3:modAM_nightmare{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=13, modAM_previewvfx_id=false, modAM_sfx_type_id=13, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2}"
"P2","Recommended","activemedallionconfig.xml","modAM_G","modAM_previewvfx_id","modAM_previewvfx","TOGGLE","false","false","Prefer immersive/minimal cues over loud HUD/VFX","Active medallion should add atmosphere and investigation feedback without becoming a constant UI alarm.","Local XML","","0:modAM_default{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=4, modAM_previewvfx_id=false, modAM_sfx_type_id=3, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2} | 1:modAM_minimalist{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=0, modAM_previewvfx_id=false, modAM_sfx_type_id=2, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=1} | 2:modAM_minimalistbookmed{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=11, modAM_previewvfx_id=false, modAM_sfx_type_id=12, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=0} | 3:modAM_nightmare{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=13, modAM_previewvfx_id=false, modAM_sfx_type_id=13, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2}"
"P2","Recommended","activemedallionconfig.xml","modAM_G","modAM_sfx_type_id","modAM_sfx_type","OPTIONS","13","13","Prefer immersive/minimal cues over loud HUD/VFX","Active medallion should add atmosphere and investigation feedback without becoming a constant UI alarm.","Local XML","0:modAM_sfx_type_0{modAM_sfx_type_id=0} | 1:modAM_sfx_type_1{modAM_sfx_type_id=1} | 2:modAM_sfx_type_2{modAM_sfx_type_id=2} | 3:modAM_sfx_type_3{modAM_sfx_type_id=3} | 4:modAM_sfx_type_4{modAM_sfx_type_id=4} | 5:modAM_sfx_type_5{modAM_sfx_type_id=5} | 6:modAM_sfx_type_6{modAM_sfx_type_id=6} | 7:modAM_sfx_type_7{modAM_sfx_type_id=7} | 8:modAM_sfx_type_8{modAM_sfx_type_id=8} | 9:modAM_sfx_type_9{modAM_sfx_type_id=9} | 10:modAM_sfx_type_10{modAM_sfx_type_id=10} | 11:modAM_sfx_type_11{modAM_sfx_type_id=11} | 12:modAM_sfx_type_12{modAM_sfx_type_id=12} | 13:modAM_sfx_type_13{modAM_sfx_type_id=13} | 14:modAM_sfx_type_14{modAM_sfx_type_id=14} | 15:modAM_sfx_type_15{modAM_sfx_type_id=15} | 16:modAM_sfx_type_16{modAM_sfx_type_id=16} | 17:modAM_sfx_type_17{modAM_sfx_type_id=17} | 18:modAM_sfx_type_18{modAM_sfx_type_id=18} | 19:modAM_sfx_type_19{modAM_sfx_type_id=19} | 20:modAM_sfx_type_20{modAM_sfx_type_id=20} | 21:modAM_sfx_type_21{modAM_sfx_type_id=21} | 22:modAM_sfx_type_22{modAM_sfx_type_id=22} | 23:modAM_sfx_type_23{modAM_sfx_type_id=23} | 24:modAM_sfx_type_24{modAM_sfx_type_id=24} | 25:modAM_sfx_type_25{modAM_sfx_type_id=25} | 26:modAM_sfx_type_26{modAM_sfx_type_id=26} | 27:modAM_sfx_type_27{modAM_sfx_type_id=27} | 28:modAM_sfx_type_28{modAM_sfx_type_id=28} | 29:modAM_sfx_type_29{modAM_sfx_type_id=29} | 30:modAM_sfx_type_30{modAM_sfx_type_id=30} | 31:modAM_sfx_type_31{modAM_sfx_type_id=31} | 32:modAM_sfx_type_32{modAM_sfx_type_id=32} | 33:modAM_sfx_type_33{modAM_sfx_type_id=33} | 34:modAM_sfx_type_34{modAM_sfx_type_id=34} | 35:modAM_sfx_type_35{modAM_sfx_type_id=35} | 36:modAM_sfx_type_36{modAM_sfx_type_id=36} | 37:modAM_sfx_type_37{modAM_sfx_type_id=37} | 38:modAM_sfx_type_38{modAM_sfx_type_id=38} | 39:modAM_sfx_type_39{modAM_sfx_type_id=39} | 40:modAM_sfx_type_40{modAM_sfx_type_id=40} | 41:modAM_sfx_type_41{modAM_sfx_type_id=41} | 42:modAM_sfx_type_42{modAM_sfx_type_id=42} | 43:modAM_sfx_type_43{modAM_sfx_type_id=43} | 44:modAM_sfx_type_44{modAM_sfx_type_id=44} | 45:modAM_sfx_type_45{modAM_sfx_type_id=45} | 46:modAM_sfx_type_46{modAM_sfx_type_id=46} | 47:modAM_sfx_type_47{modAM_sfx_type_id=47} | 48:modAM_sfx_type_48{modAM_sfx_type_id=48} | 49:modAM_sfx_type_49{modAM_sfx_type_id=49} | 50:modAM_sfx_type_50{modAM_sfx_type_id=50} | 51:modAM_sfx_type_51{modAM_sfx_type_id=51} | 52:modAM_sfx_type_52{modAM_sfx_type_id=52} | 53:modAM_sfx_type_53{modAM_sfx_type_id=53} | 54:modAM_sfx_type_54{modAM_sfx_type_id=54} | 55:modAM_sfx_type_55{modAM_sfx_type_id=55} | 56:modAM_sfx_type_56{modAM_sfx_type_id=56} | 57:modAM_sfx_type_57{modAM_sfx_type_id=57} | 58:modAM_sfx_type_58{modAM_sfx_type_id=58} | 59:modAM_sfx_type_59{modAM_sfx_type_id=59} | 60:modAM_sfx_type_60{modAM_sfx_type_id=60} | 61:modAM_sfx_type_61{modAM_sfx_type_id=61} | 62:modAM_sfx_type_62{modAM_sfx_type_id=62} | 63:modAM_sfx_type_63{modAM_sfx_type_id=63} | 64:modAM_sfx_type_64{modAM_sfx_type_id=64} | 65:modAM_sfx_type_65{modAM_sfx_type_id=65} | 66:modAM_sfx_type_66{modAM_sfx_type_id=66} | 67:modAM_sfx_type_67{modAM_sfx_type_id=67} | 68:modAM_sfx_type_68{modAM_sfx_type_id=68}","0:modAM_default{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=4, modAM_previewvfx_id=false, modAM_sfx_type_id=3, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2} | 1:modAM_minimalist{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=0, modAM_previewvfx_id=false, modAM_sfx_type_id=2, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=1} | 2:modAM_minimalistbookmed{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=11, modAM_previewvfx_id=false, modAM_sfx_type_id=12, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=0} | 3:modAM_nightmare{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=13, modAM_previewvfx_id=false, modAM_sfx_type_id=13, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2}"
"P2","Recommended","activemedallionconfig.xml","modAM_G","modAM_loopsound_id","modAM_loopsound","TOGGLE","false","false","Prefer immersive/minimal cues over loud HUD/VFX","Active medallion should add atmosphere and investigation feedback without becoming a constant UI alarm.","Local XML","","0:modAM_default{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=4, modAM_previewvfx_id=false, modAM_sfx_type_id=3, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2} | 1:modAM_minimalist{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=0, modAM_previewvfx_id=false, modAM_sfx_type_id=2, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=1} | 2:modAM_minimalistbookmed{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=11, modAM_previewvfx_id=false, modAM_sfx_type_id=12, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=0} | 3:modAM_nightmare{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=13, modAM_previewvfx_id=false, modAM_sfx_type_id=13, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2}"
"P2","Recommended","activemedallionconfig.xml","modAM_G","modAM_soundduration_id","modAM_soundduration","SLIDER;0.2;10;98","2.5","2.5","Prefer immersive/minimal cues over loud HUD/VFX","Active medallion should add atmosphere and investigation feedback without becoming a constant UI alarm.","Local XML","","0:modAM_default{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=4, modAM_previewvfx_id=false, modAM_sfx_type_id=3, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2} | 1:modAM_minimalist{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=0, modAM_previewvfx_id=false, modAM_sfx_type_id=2, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=1} | 2:modAM_minimalistbookmed{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=11, modAM_previewvfx_id=false, modAM_sfx_type_id=12, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=0} | 3:modAM_nightmare{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=13, modAM_previewvfx_id=false, modAM_sfx_type_id=13, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2}"
"P2","Recommended","activemedallionconfig.xml","modAM_G","modAM_previewsound_id","modAM_previewsound","TOGGLE","false","false","Prefer immersive/minimal cues over loud HUD/VFX","Active medallion should add atmosphere and investigation feedback without becoming a constant UI alarm.","Local XML","","0:modAM_default{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=4, modAM_previewvfx_id=false, modAM_sfx_type_id=3, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2} | 1:modAM_minimalist{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=0, modAM_previewvfx_id=false, modAM_sfx_type_id=2, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=1} | 2:modAM_minimalistbookmed{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=true, modAM_wind_id=true, modAM_sonar_type_id=11, modAM_previewvfx_id=false, modAM_sfx_type_id=12, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=0} | 3:modAM_nightmare{modAM_enable_id=true, modAM_otherwitcher_id=true, modAM_static_id=false, modAM_wind_id=true, modAM_sonar_type_id=13, modAM_previewvfx_id=false, modAM_sfx_type_id=13, modAM_loopsound_id=false, modAM_soundduration_id=2.5, modAM_previewsound_id=false, modAM_volume_id=50, modAM_voice_id=true, modAM_voice_set_id=1, modAM_voice_chance_id=0.5, modAM_voice_delay_id=40, modAM_hud_id=2}"
